'ServiceCity','ServiceState','ServiceZip','MeterMake','MeterModel','MeterSize','dateofaccountinitiation_d','SampleReads','SampleBegins_d','SampleEnds_d','AnnualKgal','SeasonalKgal','NonseasonalKgal','PctSeasonal','Log_AnnualKgal_Bin','wave','language','q8c','q8d','q15a','q15h','q20f','q21a','q31e','q33l','Clayton_attitude_A','Clayton_attitude_B','Clayton_attitude_C','Clayton_attitude_D','survey_year_moved_in','survey_number_of_bedrooms','survey_number_of_adults','survey_number_of_teenagers','survey_number_of_children','survey_number_of_infants','capita','utility','PrimaryFirst','survey_year','survey_number_of_toilets','survey_number_of_bathtub_showers','survey_number_of_bathtub_only','survey_number_of_whirlpools','survey_number_of_shower_only','survey_number_of_utility_sink','survey_number_of_bathtubs','survey_number_of_showers','survey_disposal','survey_ice_maker','survey_dishwasher','survey_clothes_washer_HE','survey_hot_water_tankless','survey_hot_water_on_demand','survey_evap_cooler','survey_humidifier','survey_treatment','survey_aquarium','survey_pets','survey_spa_indoor','survey_water_feature_indoor','survey_greenhouse_indoor','survey_other_features','survey_number_of_toilets_GT16','survey_number_of_toilets_16','survey_number_of_toilets_HET','survey_number_of_toilets_dual','survey_number_of_showers_hydra','survey_number_of_showers_rain','survey_number_of_showers_spray','survey_replaced_toilets_10','survey_replaced_showerheads_10','survey_replaced_clothes_washer_10','survey_replaced_dishwasher_10','survey_leak_toilet','survey_faucet_drips','survey_leak_pool','survey_leak_irrigation','survey_leak_other','survey_hot_water_gas','survey_hot_water_electric','survey_hot_water_propane','survey_hot_water_solar','survey_hot_water_wait','survey_hot_water_wait_kitchen','survey_hot_water_wait_master_bath','survey_hot_water_wait_other_bath','survey_hot_water_wait_other_room','survey_hot_water_waiting','survey_hot_water_wait_bother','survey_irrigation','survey_landscape_no_maintenance','survey_landscaper','survey_landscaper_waters','survey_well','survey_canal_ditch','survey_stream','survey_rain_barrel','survey_roof_direction','survey_gray_water','survey_other_sources_pct','survey_landscape_turf','survey_landscape_trees_and_shrubs','survey_garden_veggie','survey_garden_flower','survey_landscape_low_water','survey_landscape_nonirrigated','survey_manual_irrigation_pct','survey_irrigation_inground','survey_irrigation_inground_timer','survey_irrigation_inground_master','survey_irrigation_inground_bfp','survey_irrigation_inground_drip','survey_irrigation_manual_override','survey_irrigation_sensor_soil','survey_irrigation_sensor_rain','survey_irrigation_inground_timer_adjusted','survey_irrigation_inground_wbic','survey_spa_or_hot_tub_outdoor','survey_spa_or_hot_tub_outdoor_filled','survey_water_feature_outdoor','survey_pool','survey_pool_fill_automatic','survey_pool_cover_chemical','survey_pool_cover','survey_pool_cover_overnight','survey_car_washed','survey_walk_washed','survey_program_participation_3','survey_conservation_last_few','survey_giveaway_3','survey_retrofit_rebate_3','survey_landscape_rebate_3','survey_followed_guidelines','survey_replaced_clothes_washer_HE','survey_conservation_shower_short','survey_replaced_showerheads_LF','survey_toilet_inserts','survey_replaced_toilets_last_few','survey_disposal_used_less','survey_dishwasher_used_less','survey_clothes_washer_used_less','survey_faucet_drips_repaired','survey_audit_last_few','survey_shower_bucket','survey_replaced_dishwasher_HE','survey_car_washed_less_often','survey_irrigation_less_often','survey_irrigation_avoid_heat','survey_landscape_low_water_last_few','survey_irrigation_timer_shortened_last_few','survey_leak_irrigation_repaired','survey_irrigation_inground_monitor','survey_irrigation_inground_cycle','survey_gray_water_last_few','survey_rain_barrel_last_few','survey_drought','survey_household_pays','survey_year_built','survey_age_of_home','survey_years_in_home','survey_renter','survey_homies','survey_adults_employed','survey_baths_per_week','survey_showers_not_at_home','survey_highest_grade','survey_income','survey_participant','reuws2_attitude_A','reuws2_attitude_B','reuws2_attitude_C','reuws2_attitude_D','reuws2_attitude_E','reuws2_attitude_F','reuws2_attitude_G','reuws2_attitude_H','reuws2_attitude_I','reuws2_attitude_J','reuws2_attitude_K','reuws2_attitude_L','reuws2_attitude_M','reuws2_attitude_N','reuws2_attitude_O','reuws2_attitude_P','reuws2_attitude_Q','reuws2_attitude_R','reuws2_attitude_S','imported_d','MeterSPTypeDesc','Dateactive','SampleDays','AverageGPD','WinterReads','Fort_Collins_attitude_A','PremiseYear','Scottsdale_aerator_rebates','Scottsdale_irrigation_controller_rebates','Scottsdale_hot_water_recirculator_rebates','Scottsdale_showerhead_rebates','Scottsdale_toilet_rebates','Scottsdale_turf_rebates','Scottsdale_attitude_A','Scottsdale_attitude_B','Scottsdale_attitude_C','SurveyID'
'DENVER','CO','80211','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',27.00,7.00,19.99,25.95,1.00,1.00,,,,1.00,,,,,,,,,,2004.00,3.00,1.00,0.00,0.00,0.00,1.00,52.00,1.00,2011.00,4.00,2.00,2.00,0.00,2.00,0.00,4.00,4.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.33,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,0.00,1.00,1.00,0.33,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,52.00,0.00,0.00,,,0.00,,,,,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.00,1997.50,13.50,7.00,0.00,0.00,1.00,0.00,3.00,16.00,$125000.00,1.00,-0.50,1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00,-1.00,-0.50,-1.00,1.00,1.00,1.00,-0.50,1.00,1.00,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521012.00
'LAKEWOOD','CO','80227','','Neptune T10','5/8 Inch','',12.00,'2010-01-01','2010-12-01',190.00,142.02,47.97,74.74,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','Water Only - Residential',,,,,,,,,,,,,,,,521013.00
'DENVER','CO','80211','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',76.00,60.00,15.99,78.95,3.00,1.00,,,,1.00,,,1.00,,,,,,,1957.00,3.00,1.00,0.00,0.00,0.00,1.00,52.00,1.00,2011.00,2.00,1.00,,,,,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,1.00,,1.00,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,,,0.00,,,,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.67,1.00,1940.00,71.00,54.00,0.00,1.00,0.00,1.00,0.00,10.00,$25000.00,1.00,1.00,0.50,0.50,-0.50,-1.00,1.00,0.50,0.00,,1.00,1.00,-1.00,1.00,1.00,1.00,1.00,1.00,-1.00,1.00,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521014.00
'ENGLEWOOD','CO','80111','','Neptune T10','3/4 Inch','',11.00,'2010-01-01','2010-12-01',204.00,168.01,35.98,82.36,5.00,1.00,,,,1.00,,,1.00,,,,,,,1993.00,4.00,2.00,0.00,0.00,0.00,2.00,52.00,1.00,2011.00,3.00,1.00,1.00,0.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,3.00,,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.50,1.00,0.00,,,,,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1975.00,36.00,18.00,0.00,1.00,1.00,0.00,0.00,14.00,$87500.00,1.00,1.00,0.50,-0.50,1.00,1.00,1.00,1.00,0.00,1.00,-0.50,-1.00,-1.00,-0.50,-0.50,1.00,-1.00,,,,'2012-04-12','Water Only - Residential',,,,,,,,,,,,,,,,521015.00
'DENVER','CO','80219','','Badger 35','3/4 Inch','',12.00,'2010-01-01','2010-12-01',118.00,0.00,118.00,0.00,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521016.00
'DENVER','CO','80237','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',352.00,264.03,87.96,75.01,6.00,1.00,,,,1.00,,,1.00,,,,,,,2011.00,4.00,2.00,0.00,0.00,0.00,2.00,52.00,1.00,2011.00,4.00,1.00,0.00,0.00,1.00,0.00,1.00,2.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,,4.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.67,0.50,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,,0.00,,,,,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,1965.00,46.00,0.00,0.00,0.00,2.00,0.00,0.00,12.00,$125000.00,1.00,0.50,1.00,1.00,-0.50,-0.50,1.00,1.00,1.00,1.00,-0.50,-1.00,-1.00,0.50,0.50,0.50,-1.00,-1.00,1.00,1.00,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521017.00
'DENVER','CO','80236','','Neptune T10','5/8 Inch','',12.00,'2010-01-01','2010-12-01',111.00,15.04,95.95,13.55,4.00,1.00,,,1.00,1.00,,,,,,,,,,1999.00,5.00,4.00,0.00,0.00,0.00,4.00,52.00,1.00,2011.00,3.00,2.00,,,1.00,1.00,2.00,3.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,,,2.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.33,0.00,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,1.00,1.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,1955.00,56.00,12.00,0.00,2.00,4.00,0.00,0.00,14.00,$125000.00,0.00,-1.00,0.50,-0.50,-1.00,-1.00,-0.50,0.50,-0.50,0.50,-0.50,-0.50,-1.00,0.50,0.50,0.50,-1.00,-0.50,0.50,0.50,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521018.00
'ENGLEWOOD','CO','80111','','Neptune T10','3/4 Inch','',11.00,'2010-01-01','2010-12-01',146.00,80.02,65.97,54.81,4.00,1.00,,,,1.00,,,,,,,,,,1989.00,4.00,3.00,0.00,1.00,0.00,4.00,52.00,1.00,2011.00,4.00,1.00,,,2.00,1.00,1.00,3.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,,2.00,1.00,0.00,0.00,0.00,1.00,1.00,,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.67,0.50,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.33,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,4.00,0.00,1.00,0.50,0.00,0.00,,,,,1.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.67,1.00,1975.00,36.00,22.00,0.00,1.00,2.00,0.00,2.00,18.00,$175000.00,1.00,-1.00,1.00,1.00,-1.00,-1.00,1.00,1.00,0.00,1.00,0.50,0.50,-1.00,1.00,1.00,1.00,0.50,0.50,1.00,1.00,'2012-04-12','Water Only - Residential',,,,,,,,,,,,,,,,521019.00
'DENVER','CO','80249','','Badger 35','3/4 Inch','',12.00,'2010-01-01','2010-12-01',123.00,55.02,67.97,44.73,4.00,1.00,,,,1.00,,,,,,,,,,2005.00,3.00,2.00,0.00,0.00,0.00,2.00,52.00,1.00,2011.00,2.00,2.00,,,,1.00,2.00,2.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.33,0.50,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,12.00,0.00,0.00,,,0.00,,,,,2.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.67,1.00,2003.00,8.00,6.00,0.00,2.00,0.00,0.00,0.00,14.00,$37500.00,0.00,0.50,0.50,1.00,-0.50,0.00,-1.00,1.00,0.00,1.00,1.00,-1.00,0.00,0.50,0.50,0.50,1.00,1.00,1.00,1.00,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521020.00
'DENVER','CO','80224','','Neptune T10','5/8 Inch','',12.00,'2010-01-01','2010-12-01',103.00,79.01,23.98,76.70,4.00,1.00,,,,1.00,,,1.00,,,,,,,1997.00,3.00,1.00,0.00,0.00,0.00,1.00,52.00,1.00,2011.00,3.00,1.00,,,1.00,,1.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,,,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.33,0.00,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,,,0.00,,,,,0.50,0.50,0.00,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,1965.00,46.00,14.00,0.00,1.00,1.00,0.00,0.00,18.00,$37500.00,1.00,0.50,0.50,0.50,0.50,-1.00,0.50,0.50,-1.00,,0.50,-1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521021.00
'DENVER','CO','80219','','Neptune T10','3/4 Inch','',11.00,'2010-02-01','2010-12-01',129.00,81.02,47.97,62.80,4.00,1.00,,,,,,,,,,,,,,2010.00,2.00,2.00,0.00,4.00,0.00,6.00,52.00,1.00,2011.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.67,0.50,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1940.00,71.00,1.00,1.00,1.00,1.00,0.00,0.00,13.00,$25000.00,1.00,1.00,1.00,1.00,1.00,-0.50,0.00,0.00,0.00,1.00,1.00,-1.00,-1.00,1.00,1.00,1.00,-1.00,1.00,1.00,1.00,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521022.00
'DENVER','CO','80207','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',94.00,70.01,23.98,74.47,3.00,1.00,,,,1.00,,,,,,,,,,2001.00,3.00,1.00,0.00,0.00,0.00,1.00,52.00,1.00,2011.00,2.00,1.00,0.00,0.00,1.00,0.00,1.00,2.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,2.00,,,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.33,0.50,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,1.00,1.00,1.00,1.00,0.33,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,4.00,0.00,1.00,0.00,1.00,0.00,,,,,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1940.00,71.00,10.00,0.00,0.00,2.00,0.00,0.00,13.00,$62500.00,1.00,-0.50,1.00,1.00,0.50,0.50,0.50,0.50,0.00,0.50,-0.50,0.50,-1.00,1.00,1.00,1.00,0.50,-1.00,0.50,0.50,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521023.00
'DENVER','CO','80210','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',53.00,17.01,35.98,32.10,2.00,2.00,,,,1.00,,,,,,,,,,1993.00,3.00,1.00,0.00,0.00,0.00,1.00,52.00,1.00,2011.00,2.00,2.00,,,,,2.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,,,,0.00,,,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.67,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.00,1945.00,66.00,18.00,0.00,0.00,1.00,0.00,0.00,18.00,$62500.00,1.00,-1.00,0.50,0.50,0.50,-1.00,-0.50,-0.50,-0.50,1.00,0.50,0.50,-0.50,0.50,1.00,1.00,0.50,0.50,0.50,0.50,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521024.00
'DENVER','CO','80212','','Badger 35','3/4 Inch','',12.00,'2010-01-01','2010-12-01',109.00,81.01,27.98,74.32,4.00,1.00,,,,1.00,,,,,,,,,,2010.00,2.00,2.00,0.00,0.00,0.00,2.00,52.00,1.00,2011.00,2.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.67,0.00,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,,,0.00,,,,,4.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.67,1.00,1975.00,36.00,1.00,0.00,1.00,2.00,0.00,3.00,16.00,$175000.00,1.00,0.50,1.00,-0.50,1.00,0.50,0.50,1.00,0.50,1.00,0.50,0.50,-0.50,1.00,1.00,1.00,-0.50,1.00,1.00,1.00,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521025.00
'DENVER','CO','80249','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',88.00,24.02,63.97,27.30,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521026.00
'DENVER','CO','80219','','Neptune T10','5/8 Inch','',12.00,'2010-01-01','2010-12-01',80.00,8.03,71.96,10.03,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521027.00
'DENVER','CO','80206','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',97.00,45.02,51.97,46.41,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521028.00
'DENVER','CO','80238','','Badger 35','3/4 Inch','',12.00,'2010-01-01','2010-12-01',180.00,136.01,43.98,75.56,4.00,1.00,,,,1.00,,,1.00,,,,,,,2008.00,4.00,2.00,0.00,2.00,0.00,4.00,52.00,1.00,2011.00,5.00,4.00,1.00,,,1.00,5.00,4.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,4.00,,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,,,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,0.00,1.00,1.00,1.00,0.33,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,4.00,0.00,0.00,,,0.00,,,,,0.50,0.50,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.00,2006.00,5.00,3.00,0.00,2.00,2.00,3.00,0.00,18.00,$175000.00,1.00,-0.50,1.00,1.00,1.00,-0.50,-0.50,0.50,-0.50,1.00,1.00,1.00,1.00,-0.50,1.00,1.00,1.00,1.00,1.00,1.00,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521029.00
'DENVER','CO','80211','','Neptune T10','3/4 Inch','',12.00,'2010-01-01','2010-12-01',60.00,36.01,23.98,60.01,3.00,2.00,,,,1.00,,,,,,,,,,2008.00,2.00,1.00,0.00,0.00,0.00,1.00,52.00,1.00,2011.00,2.00,2.00,0.00,0.00,0.00,0.00,2.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,1.00,1.00,0.00,1.00,1.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,0.00,,,,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,1.00,1940.00,71.00,3.00,0.00,0.00,1.00,0.00,3.00,16.00,$125000.00,1.00,0.50,1.00,1.00,1.00,1.00,-1.00,-1.00,-1.00,1.00,-1.00,-0.50,-1.00,0.50,-0.50,0.50,-1.00,-0.50,-0.50,0.50,'2012-04-12','Residential Water/Sewer',,,,,,,,,,,,,,,,521030.00
